08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
10:02:15.018 -> 19.00, 43.63, 17.87, 47.13, 
10:02:17.097 -> 19.00, 43.63, 17.87, 47.06, 
10:02:19.191 -> 19.00, 43.63, 17.87, 47.06, 
10:02:21.264 -> 19.00, 43.63, 17.94, 47.06, 
10:02:23.309 -> 19.00, 43.63, 17.94, 47.06, 
10:02:25.432 -> 19.00, 43.63, 17.94, 47.06, 
10:02:27.490 -> 19.00, 43.63, 18.00, 47.06, 
10:02:29.563 -> 19.00, 43.63, 18.00, 47.06, 
10:02:31.637 -> 19.00, 43.63, 18.00, 47.06, 
10:02:33.722 -> 19.00, 43.63, 18.00, 47.06, 
10:02:35.830 -> 19.00, 43.63, 18.06, 47.13, 
10:02:37.915 -> 19.00, 43.63, 18.06, 47.13, 
10:02:39.958 -> 19.00, 43.63, 18.12, 47.13, 
10:02:42.042 -> 19.00, 43.63, 18.12, 47.13, 
10:02:44.153 -> 19.00, 43.69, 18.19, 47.13, 
10:02:46.220 -> 19.00, 43.69, 18.19, 47.13, 
10:02:48.315 -> 19.00, 43.69, 18.19, 47.13, 
10:02:50.395 -> 19.00, 43.69, 18.25, 47.13, 
10:02:52.466 -> 19.00, 43.69, 18.25, 47.13, 
10:02:54.552 -> 19.00, 43.69, 18.25, 47.13, 
10:02:56.640 -> 19.00, 43.69, 18.31, 47.13, 
10:02:58.724 -> 19.00, 43.69, 18.31, 47.13, 
10:03:00.770 -> 19.00, 43.69, 18.31, 47.13, 
10:03:02.866 -> 19.00, 43.69, 18.37, 47.13, 
10:03:04.937 -> 19.50, 43.75, 18.37, 47.13, 
10:03:07.051 -> 19.50, 43.75, 18.37, 47.13, 
10:03:09.114 -> 19.50, 43.75, 18.37, 47.13, 
10:03:11.182 -> 19.50, 43.75, 18.44, 47.13, 
10:03:13.282 -> 19.50, 43.75, 18.44, 47.13, 
10:03:15.336 -> 19.50, 43.75, 18.44, 47.13, 
10:03:17.446 -> 19.50, 43.75, 18.44, 47.13, 
10:03:19.513 -> 19.50, 43.75, 18.50, 47.13, 
10:03:21.587 -> 19.50, 43.75, 18.50, 47.13, 
10:03:23.655 -> 19.50, 43.75, 18.50, 47.13, 
10:03:25.744 -> 19.50, 43.75, 18.50, 47.13, 
10:03:27.827 -> 19.50, 43.75, 18.56, 47.13, 
10:03:29.927 -> 19.50, 43.75, 18.56, 47.13, 
10:03:32.013 -> 19.50, 43.75, 18.56, 47.13, 
10:03:34.060 -> 19.50, 43.75, 18.62, 47.13, 
10:03:36.150 -> 19.50, 43.75, 18.62, 47.13, 
10:03:38.221 -> 19.50, 43.75, 18.69, 47.19, 
10:03:40.309 -> 19.50, 43.75, 18.69, 47.19, 
10:03:42.399 -> 19.50, 43.75, 18.69, 47.19, 
10:03:44.478 -> 19.50, 43.75, 18.69, 47.19, 
10:03:46.543 -> 19.50, 43.75, 18.69, 47.19, 
10:03:48.661 -> 19.50, 43.81, 18.75, 47.19, 
10:03:50.703 -> 19.50, 43.81, 18.75, 47.19, 
10:03:52.786 -> 19.50, 43.81, 18.75, 47.25, 
10:03:54.905 -> 19.50, 43.81, 18.75, 47.25, 
10:03:56.961 -> 19.50, 43.81, 18.81, 47.25, 
10:03:59.033 -> 19.50, 43.81, 18.81, 47.31, 
10:04:01.128 -> 20.00, 43.88, 18.81, 47.31, 
10:04:03.216 -> 20.00, 43.88, 18.81, 47.31, 
10:04:05.274 -> 20.00, 43.88, 18.81, 47.38, 
10:04:07.393 -> 20.00, 43.94, 18.87, 47.38, 
10:04:09.446 -> 20.00, 43.94, 18.87, 47.38, 
10:04:11.508 -> 20.00, 44.00, 18.87, 47.44, 
10:04:13.602 -> 20.00, 44.00, 18.87, 47.44, 
10:04:15.702 -> 20.00, 44.06, 18.87, 47.44, 
10:04:17.771 -> 20.00, 44.06, 18.87, 47.44, 
10:04:19.853 -> 20.00, 44.06, 18.87, 47.44, 
10:04:21.947 -> 20.00, 44.06, 18.94, 47.50, 
10:04:24.029 -> 20.00, 44.06, 18.94, 47.50, 
10:04:26.118 -> 20.00, 44.13, 19.00, 47.50, 
10:04:28.160 -> 20.00, 44.13, 19.00, 47.56, 
10:04:30.246 -> 20.00, 44.19, 18.94, 47.56, 
10:04:32.326 -> 20.00, 44.19, 19.00, 47.63, 
10:04:34.411 -> 20.00, 44.19, 19.00, 47.56, 
10:04:36.502 -> 20.00, 44.19, 19.00, 47.63, 
10:04:38.587 -> 20.00, 44.19, 19.00, 47.63, 
10:04:40.675 -> 20.00, 44.25, 19.06, 47.63, 
10:04:42.761 -> 20.00, 44.19, 19.06, 47.63, 
10:04:44.837 -> 20.00, 44.25, 19.06, 47.69, 
10:04:46.921 -> 20.00, 44.25, 19.06, 47.69, 
10:04:49.003 -> 20.00, 44.25, 19.06, 47.75, 
10:04:51.084 -> 20.00, 44.25, 19.12, 47.75, 
10:04:53.162 -> 20.00, 44.25, 19.12, 47.81, 
10:04:55.242 -> 20.00, 44.25, 19.12, 47.75, 
10:04:57.326 -> 20.00, 44.25, 19.19, 47.81, 
10:04:59.404 -> 20.00, 44.25, 19.19, 47.81, 
10:05:01.484 -> 20.00, 44.25, 19.19, 47.81, 
10:05:03.566 -> 20.00, 44.25, 19.19, 47.81, 
10:05:05.643 -> 20.00, 44.25, 19.25, 47.81, 
10:05:07.717 -> 20.00, 44.31, 19.25, 47.81, 
10:05:09.795 -> 20.50, 44.25, 19.25, 47.81, 
10:05:11.874 -> 20.50, 44.25, 19.31, 47.81, 
10:05:13.955 -> 20.50, 44.25, 19.25, 47.81, 
10:05:16.032 -> 20.50, 44.25, 19.31, 47.81, 
10:05:18.112 -> 20.50, 44.31, 19.37, 47.81, 
10:05:20.196 -> 20.50, 44.25, 19.37, 47.81, 
10:05:22.275 -> 20.50, 44.25, 19.37, 47.81, 
10:05:24.359 -> 20.50, 44.25, 19.37, 47.81, 
10:05:26.432 -> 20.50, 44.25, 19.44, 47.81, 
10:05:28.516 -> 20.50, 44.25, 19.44, 47.81, 
10:05:30.600 -> 20.50, 44.25, 19.44, 47.81, 
10:05:32.681 -> 20.50, 44.25, 19.50, 47.75, 
10:05:34.770 -> 20.50, 44.19, 19.50, 47.75, 
10:05:36.850 -> 20.50, 44.19, 19.56, 47.75, 
10:05:38.927 -> 20.50, 44.19, 19.56, 47.69, 
10:05:41.013 -> 20.50, 44.19, 19.62, 47.69, 
10:05:43.099 -> 20.50, 44.19, 19.62, 47.69, 
10:05:45.177 -> 20.50, 44.13, 19.69, 47.69, 
10:05:47.216 -> 20.50, 44.13, 19.69, 47.69, 
10:05:49.304 -> 20.50, 44.13, 19.69, 47.69, 
10:05:51.386 -> 20.50, 44.13, 19.75, 47.63, 
10:05:53.484 -> 20.50, 44.13, 19.75, 47.63, 
10:05:55.565 -> 20.50, 44.13, 19.75, 47.63, 
10:05:57.656 -> 20.50, 44.13, 19.81, 47.69, 
10:05:59.743 -> 20.50, 44.13, 19.75, 47.69, 
