08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
09:07:34.363 -> 4.00, 31.50, 2.56, 32.44, 
09:07:36.462 -> 4.00, 31.50, 2.56, 32.44, 
09:07:38.569 -> 4.00, 31.50, 2.56, 32.44, 
09:07:40.642 -> 4.00, 31.50, 2.56, 32.38, 
09:07:42.725 -> 4.00, 31.50, 2.56, 32.38, 
09:07:44.816 -> 4.00, 31.50, 2.56, 32.38, 
09:07:46.932 -> 4.00, 31.50, 2.56, 32.38, 
09:07:48.988 -> 4.00, 31.50, 2.50, 32.38, 
09:07:51.081 -> 4.00, 31.50, 2.56, 32.38, 
09:07:53.180 -> 4.00, 31.50, 2.56, 32.44, 
09:07:55.252 -> 4.00, 31.50, 2.63, 32.44, 
09:07:57.315 -> 4.00, 31.50, 2.63, 32.44, 
09:07:59.421 -> 4.00, 31.44, 2.63, 32.44, 
09:08:01.506 -> 4.00, 31.44, 2.63, 32.38, 
09:08:03.573 -> 4.00, 31.44, 2.63, 32.38, 
09:08:05.690 -> 4.00, 31.44, 2.56, 32.38, 
09:08:07.767 -> 4.00, 31.44, 2.56, 32.38, 
09:08:09.860 -> 4.00, 31.44, 2.50, 32.31, 
09:08:11.951 -> 4.00, 31.44, 2.50, 32.31, 
09:08:14.033 -> 4.00, 31.44, 2.56, 32.31, 
09:08:16.094 -> 4.00, 31.44, 2.50, 32.31, 
09:08:18.186 -> 4.00, 31.44, 2.50, 32.38, 
09:08:20.294 -> 4.00, 31.50, 2.44, 32.38, 
09:08:22.388 -> 4.00, 31.50, 2.38, 32.44, 
09:08:24.439 -> 4.00, 31.50, 2.31, 32.44, 
09:08:26.532 -> 4.00, 31.50, 2.31, 32.50, 
09:08:28.607 -> 4.00, 31.56, 2.31, 32.50, 
09:08:30.719 -> 4.00, 31.56, 2.25, 32.50, 
09:08:32.783 -> 4.00, 31.56, 2.31, 32.50, 
