08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
11:49:09.713 -> 1.00, 27.87, -0.75, 28.56, 
11:49:11.794 -> 1.00, 27.87, -0.75, 28.56, 
11:49:13.913 -> 1.00, 27.87, -0.75, 28.56, 
11:49:15.994 -> 1.00, 27.87, -0.75, 28.56, 
11:49:18.068 -> 1.50, 27.87, -0.75, 28.56, 
11:49:20.148 -> 1.50, 27.87, -0.75, 28.56, 
11:49:22.267 -> 1.50, 27.87, -0.69, 28.56, 
11:49:24.332 -> 1.50, 27.87, -0.69, 28.56, 
11:49:26.400 -> 1.50, 27.87, -0.69, 28.56, 
11:49:28.526 -> 1.50, 27.87, -0.75, 28.56, 
11:49:30.583 -> 1.50, 27.94, -0.69, 28.56, 
11:49:32.694 -> 1.50, 27.87, -0.69, 28.56, 
11:49:34.767 -> 1.50, 27.94, -0.69, 28.56, 
11:49:36.866 -> 1.50, 27.94, -0.69, 28.56, 
11:49:38.953 -> 1.50, 27.94, -0.69, 28.56, 
11:49:41.017 -> 1.50, 27.94, -0.69, 28.56, 
11:49:43.134 -> 1.50, 27.94, -0.69, 28.56, 
11:49:45.214 -> 1.50, 27.94, -0.69, 28.56, 
11:49:47.288 -> 1.50, 27.94, -0.69, 28.56, 
11:49:49.399 -> 1.50, 27.94, -0.75, 28.56, 
11:49:51.474 -> 1.50, 27.94, -0.75, 28.56, 
11:49:53.534 -> 1.50, 27.94, -0.75, 28.56, 
11:49:55.631 -> 1.50, 27.94, -0.75, 28.56, 
11:49:57.720 -> 1.50, 27.94, -0.75, 28.56, 
11:49:59.831 -> 1.50, 27.94, -0.75, 28.56, 
11:50:01.895 -> 1.50, 27.94, -0.75, 28.56, 
11:50:03.976 -> 1.50, 28.00, -0.75, 28.56, 
11:50:06.093 -> 1.50, 28.00, -0.75, 28.56, 
11:50:08.172 -> 1.50, 28.00, -0.75, 28.56, 
11:50:10.243 -> 1.50, 27.94, -0.81, 28.56, 
11:50:12.338 -> 1.50, 27.94, -0.75, 28.56, 
11:50:14.413 -> 1.50, 27.94, -0.75, 28.56, 
11:50:16.510 -> 1.50, 27.94, -0.81, 28.56, 
11:50:18.621 -> 1.50, 28.00, -0.81, 28.56, 
11:50:20.681 -> 1.50, 27.94, -0.81, 28.56, 
11:50:22.753 -> 1.50, 28.00, -0.81, 28.62, 
11:50:24.864 -> 1.50, 27.94, -0.81, 28.62, 
11:50:26.936 -> 1.50, 28.00, -0.81, 28.62, 
11:50:29.017 -> 1.50, 27.94, -0.81, 28.62, 
11:50:31.123 -> 1.50, 28.00, -0.81, 28.56, 
11:50:33.190 -> 1.50, 28.00, -0.81, 28.56, 
11:50:35.323 -> 1.50, 28.00, -0.81, 28.56, 
11:50:37.371 -> 1.50, 28.00, -0.81, 28.56, 
11:50:39.488 -> 1.50, 28.00, -0.81, 28.56, 
11:50:41.552 -> 2.00, 28.00, -0.81, 28.56, 
11:50:43.655 -> 2.00, 28.00, -0.81, 28.62, 
11:50:45.720 -> 1.50, 28.00, -0.81, 28.56, 
11:50:47.829 -> 2.00, 28.00, -0.81, 28.56, 
11:50:49.933 -> 2.00, 28.00, -0.81, 28.56, 
11:50:51.999 -> 2.00, 28.00, -0.81, 28.62, 
11:50:54.084 -> 2.00, 28.00, -0.81, 28.56, 
11:50:56.166 -> 2.00, 28.00, -0.81, 28.62, 
11:50:58.236 -> 2.00, 28.00, -0.81, 28.62, 
11:51:00.346 -> 2.00, 28.00, -0.81, 28.62, 
11:51:02.421 -> 2.00, 28.00, -0.81, 28.62, 
11:51:04.502 -> 2.00, 28.00, -0.88, 28.62, 
11:51:06.619 -> 2.00, 28.00, -0.81, 28.62, 
11:51:08.684 -> 2.00, 28.00, -0.81, 28.62, 
11:51:10.798 -> 1.50, 28.00, -0.81, 28.62, 
11:51:12.886 -> 1.50, 28.00, -0.81, 28.62, 
11:51:14.979 -> 1.50, 28.00, -0.81, 28.62, 
11:51:17.044 -> 1.50, 28.00, -0.88, 28.62, 
11:51:19.120 -> 1.50, 27.94, -0.81, 28.62, 
11:51:21.229 -> 1.50, 28.00, -0.81, 28.62, 
11:51:23.300 -> 1.50, 27.94, -0.81, 28.62, 
11:51:25.381 -> 1.50, 28.00, -0.81, 28.62, 
11:51:27.503 -> 1.50, 27.94, -0.81, 28.62, 
11:51:29.583 -> 1.50, 28.00, -0.81, 28.62, 
11:51:31.657 -> 1.50, 28.00, -0.75, 28.62, 
11:51:33.721 -> 2.00, 28.00, -0.75, 28.62, 
11:51:35.837 -> 1.50, 27.94, -0.75, 28.62, 
11:51:37.917 -> 1.50, 28.00, -0.75, 28.62, 
11:51:40.004 -> 1.50, 27.94, -0.75, 28.62, 
11:51:42.108 -> 1.50, 28.00, -0.81, 28.62, 
11:51:44.171 -> 1.50, 28.00, -0.75, 28.62, 
11:51:46.288 -> 1.50, 27.94, -0.81, 28.62, 
11:51:48.337 -> 1.50, 28.00, -0.81, 28.62, 
11:51:50.425 -> 1.50, 28.00, -0.81, 28.62, 
11:51:52.537 -> 1.50, 28.00, -0.81, 28.62, 
11:51:54.623 -> 1.50, 27.94, -0.81, 28.62, 
11:51:56.696 -> 1.50, 28.00, -0.81, 28.62, 
11:51:58.813 -> 1.50, 28.00, -0.88, 28.62, 
11:52:00.868 -> 1.50, 28.00, -0.88, 28.69, 
11:52:02.988 -> 1.50, 28.00, -0.88, 28.69, 
11:52:05.068 -> 1.50, 28.00, -0.88, 28.62, 
11:52:07.140 -> 1.50, 28.00, -0.88, 28.62, 
11:52:09.220 -> 1.50, 27.94, -0.88, 28.62, 
11:52:11.312 -> 1.50, 28.00, -0.94, 28.62, 
11:52:13.402 -> 1.50, 28.00, -0.94, 28.62, 
11:52:15.490 -> 1.50, 27.94, -0.94, 28.69, 
11:52:17.555 -> 1.50, 27.94, -0.94, 28.62, 
11:52:19.675 -> 1.50, 27.94, -0.94, 28.69, 
11:52:21.738 -> 1.50, 27.94, -0.94, 28.69, 
11:52:23.856 -> 1.50, 27.94, -0.94, 28.62, 
11:52:25.935 -> 1.50, 27.94, -0.94, 28.62, 
11:52:28.037 -> 1.50, 27.94, -0.94, 28.62, 
11:52:30.087 -> 1.50, 27.94, -1.00, 28.69, 
11:52:32.200 -> 1.50, 27.94, -0.94, 28.69, 
11:52:34.279 -> 1.50, 27.94, -0.94, 28.62, 
11:52:36.349 -> 1.50, 27.94, -1.00, 28.62, 
11:52:38.469 -> 1.50, 27.94, -1.00, 28.62, 
11:52:40.531 -> 1.50, 27.94, -1.00, 28.69, 
11:52:42.646 -> 1.50, 27.94, -1.00, 28.62, 
11:52:44.725 -> 1.50, 27.94, -1.00, 28.62, 
11:52:46.799 -> 1.50, 27.94, -1.06, 28.62, 
11:52:48.879 -> 1.50, 27.87, -1.06, 28.62, 
11:52:50.954 -> 1.50, 27.94, -1.06, 28.62, 
11:52:53.065 -> 1.50, 27.94, -1.06, 28.62, 
11:52:55.141 -> 1.50, 27.94, -1.06, 28.62, 
11:52:57.254 -> 1.50, 27.87, -1.06, 28.62, 
11:52:59.319 -> 1.50, 27.87, -1.06, 28.62, 
11:53:01.431 -> 1.50, 27.87, -1.06, 28.62, 
11:53:03.506 -> 1.50, 27.87, -1.00, 28.62, 
11:53:05.571 -> 1.50, 27.87, -1.00, 28.62, 
11:53:07.690 -> 1.50, 27.87, -1.00, 28.62, 
11:53:09.753 -> 1.50, 27.87, -1.00, 28.62, 
11:53:11.869 -> 1.50, 27.87, -1.00, 28.62, 
11:53:13.949 -> 1.50, 27.87, -0.94, 28.62, 
11:53:16.006 -> 1.50, 27.87, -0.94, 28.62, 
11:53:18.117 -> 1.50, 27.87, -0.94, 28.62, 
11:53:20.191 -> 1.50, 27.87, -0.94, 28.62, 
11:53:22.269 -> 1.50, 27.87, -1.00, 28.62, 
11:53:24.393 -> 1.50, 27.87, -0.94, 28.62, 
11:53:26.457 -> 1.50, 27.87, -1.00, 28.62, 
11:53:28.544 -> 1.50, 27.87, -1.00, 28.62, 
11:53:30.656 -> 1.50, 27.87, -1.00, 28.62, 
11:53:32.733 -> 1.50, 27.87, -1.00, 28.62, 
11:53:34.806 -> 1.50, 27.87, -1.00, 28.62, 
11:53:36.886 -> 1.50, 27.87, -1.06, 28.62, 
11:53:39.005 -> 1.50, 27.87, -1.06, 28.62, 
11:53:41.068 -> 1.50, 27.87, -1.06, 28.62, 
11:53:43.142 -> 1.50, 27.87, -1.06, 28.62, 
11:53:45.252 -> 1.50, 27.87, -1.06, 28.62, 
11:53:47.319 -> 1.50, 27.87, -1.06, 28.62, 
11:53:49.427 -> 1.50, 27.87, -1.06, 28.62, 
11:53:51.506 -> 1.50, 27.87, -1.12, 28.62, 
11:53:53.612 -> 1.50, 27.87, -1.12, 28.62, 
11:53:55.682 -> 1.50, 27.87, -1.06, 28.62, 
11:53:57.778 -> 1.50, 27.87, -1.12, 28.62, 
11:53:59.849 -> 1.50, 27.87, -1.06, 28.62, 
11:54:01.928 -> 1.50, 27.87, -1.12, 28.62, 
11:54:04.049 -> 1.50, 27.87, -1.12, 28.62, 
11:54:06.100 -> 1.50, 27.87, -1.12, 28.62, 
11:54:08.217 -> 1.50, 27.87, -1.12, 28.62, 
