10:15:37.380 ->  Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
10:24:35.178 -> 2.00, 37.00, 1.12, 37.81, 
10:24:37.274 -> 2.00, 37.06, 1.06, 37.75, 
10:24:39.371 -> 1.50, 37.06, 1.00, 37.75, 
10:24:41.476 -> 1.50, 37.06, 1.00, 37.75, 
10:24:43.554 -> 1.50, 37.06, 0.94, 37.69, 
10:24:45.604 -> 1.50, 37.06, 0.94, 37.69, 
10:24:47.699 -> 1.50, 37.06, 0.88, 37.69, 
10:24:49.794 -> 1.50, 37.00, 0.88, 37.69, 
10:24:51.878 -> 1.50, 37.06, 0.88, 37.69, 
10:24:53.958 -> 1.50, 37.06, 0.81, 37.69, 
10:24:56.051 -> 1.50, 37.06, 0.88, 37.69, 
10:24:58.162 -> 1.50, 37.00, 1.00, 37.63, 
10:25:00.214 -> 1.50, 37.00, 1.00, 37.63, 
10:25:02.301 -> 1.50, 37.00, 1.00, 37.69, 
10:25:04.379 -> 1.50, 37.00, 1.00, 37.69, 
10:25:06.499 -> 1.50, 37.00, 0.94, 37.69, 
10:25:08.545 -> 1.50, 37.00, 0.94, 37.63, 
10:25:10.646 -> 1.50, 37.00, 0.94, 37.63, 
10:25:12.740 -> 1.50, 37.00, 1.00, 37.56, 
10:25:14.801 -> 1.50, 37.00, 1.00, 37.56, 
10:25:16.902 -> 1.50, 37.00, 1.00, 37.50, 
10:25:19.012 -> 1.50, 37.00, 0.94, 37.50, 
10:25:21.100 -> 1.50, 37.06, 0.94, 37.44, 
10:25:23.154 -> 1.50, 37.06, 0.88, 37.44, 
10:25:25.244 -> 1.50, 37.06, 0.81, 37.38, 
10:25:27.356 -> 1.50, 37.00, 0.81, 37.38, 
10:25:29.404 -> 1.50, 37.06, 0.75, 37.38, 
10:25:31.491 -> 1.50, 37.06, 0.75, 37.31, 
10:25:33.593 -> 1.50, 37.00, 0.75, 37.38, 
10:25:35.673 -> 1.50, 37.06, 0.69, 37.38, 
10:25:37.783 -> 1.50, 37.06, 0.63, 37.38, 
10:25:39.841 -> 1.50, 37.06, 0.63, 37.44, 
10:25:41.922 -> 1.50, 37.06, 0.56, 37.44, 
10:25:44.030 -> 1.50, 37.06, 0.56, 37.44, 
10:25:46.083 -> 1.50, 37.06, 0.56, 37.44, 
10:25:48.170 -> 1.50, 37.00, 0.56, 37.38, 
10:25:50.283 -> 1.50, 37.06, 0.56, 37.38, 
10:25:52.371 -> 1.50, 37.00, 0.56, 37.38, 
10:25:54.461 -> 1.50, 37.06, 0.56, 37.38, 
10:25:56.549 -> 1.50, 37.06, 0.56, 37.44, 
10:25:58.612 -> 1.50, 37.06, 0.56, 37.50, 
10:26:00.715 -> 1.50, 37.06, 0.56, 37.50, 
10:26:02.787 -> 1.50, 37.06, 0.56, 37.38, 
10:26:04.853 -> 1.50, 37.06, 0.56, 37.38, 
10:26:06.970 -> 1.50, 37.06, 0.56, 37.38, 
10:26:09.032 -> 1.50, 37.06, 0.56, 37.38, 
10:26:11.121 -> 1.50, 37.06, 0.56, 37.44, 
10:26:13.206 -> 1.50, 37.06, 0.56, 37.44, 
10:26:15.285 -> 1.50, 37.06, 0.50, 37.44, 
10:26:17.390 -> 1.50, 37.06, 0.50, 37.44, 
10:26:19.485 -> 1.50, 37.06, 0.50, 37.50, 
10:26:21.551 -> 1.50, 37.06, 0.50, 37.44, 
10:26:23.624 -> 1.50, 37.06, 0.44, 37.44, 
10:26:25.732 -> 1.50, 37.00, 0.50, 37.44, 
10:26:27.814 -> 1.50, 37.00, 0.44, 37.44, 
10:26:29.883 -> 1.50, 37.06, 0.50, 37.44, 
10:26:31.976 -> 1.50, 37.00, 0.44, 37.44, 
10:26:34.046 -> 1.50, 37.00, 0.44, 37.50, 
10:26:36.156 -> 1.50, 37.00, 0.44, 37.50, 
10:26:38.246 -> 1.50, 37.00, 0.44, 37.50, 
10:26:40.321 -> 1.50, 37.00, 0.50, 37.50, 
10:26:42.413 -> 1.50, 37.00, 0.56, 37.50, 
10:26:44.518 -> 1.50, 37.00, 0.69, 37.50, 
10:26:46.559 -> 1.50, 36.94, 0.75, 37.56, 
10:26:48.665 -> 1.50, 36.94, 0.81, 37.56, 
10:26:50.749 -> 1.50, 36.94, 0.88, 37.63, 
10:26:52.845 -> 1.50, 36.88, 0.94, 37.63, 
10:26:54.921 -> 1.50, 36.88, 0.94, 37.63, 
10:26:57.029 -> 1.50, 36.88, 0.94, 37.63, 
10:26:59.115 -> 1.50, 36.94, 0.94, 37.69, 
10:27:01.167 -> 1.50, 36.88, 1.00, 37.69, 
10:27:03.243 -> 1.50, 36.94, 1.00, 37.69, 
10:27:05.357 -> 1.50, 36.94, 0.94, 37.63, 
10:27:07.433 -> 1.50, 36.94, 0.88, 37.63, 
10:27:09.529 -> 1.50, 36.88, 0.88, 37.63, 
10:27:11.605 -> 1.50, 36.88, 0.81, 37.63, 
10:27:13.683 -> 1.50, 36.88, 0.81, 37.56, 
10:27:15.789 -> 1.50, 36.88, 0.81, 37.56, 
10:27:17.863 -> 1.50, 36.88, 0.81, 37.56, 
