Time1_[s]	Voltage_10_A_[V]	Shunt_10_A_[V]	Voltage_8.2_B_[V]	Shunt_8.2_B_[V]	Voltage_9.09_C_[V]	Shunt_9.09_C_[V]	Voltage_4.1_D_[V]	Shunt_4.1_D_[V]	Voltage_4.1_E_[V]	Shunt_4.1_E_[V]	Voltage_VarR_[V]	Shunt_VarR_[V]	Time2_[s]	T5_cold_surf_B_[degC]	T8_cold_surf_C_[degC]	T2_hot_surf_C_[degC]	T4_hot_surf_A_[degC]	T3_hot_in_TEGs_[degC]	T6_hot_surf_B_[degC]	T7_cold_surf_A_[degC]	T1_cold_in_TEGs_[degC]	Current_A_[A]	Power_A_[W]	Current_B_[A]	Power_B_[W]	Current_C_[]	Power_C_[]	Current_D_[]	Power_D_[]	Current_E_[]	Power_E_[]	Current_VarR_[]	Power_VarR_[]	DT_surf_A_K]	DT_surf_B_[]	DT_surf_C_[]
3.400	0.000017	0.00043	-0.00032	-0.00020	-0.00043	-0.00027	-0.00074	0.00017	-0.00061	0.00061	0.00163	-0.00030	3.400	4.828	5.271	45.44	49.23	51.31	47.62	3.769	2.236	0.00043	7.45e-9	0.00020	6.41e-8	0.00027	1.17e-7	0.00017	1.26e-7	0.00061	3.71e-7	0.00030	4.95e-7	45.46	42.79	40.17	
3.500	0.000010	0.00043	-0.00032	-0.00021	-0.00042	-0.00026	-0.00073	0.00017	-0.00061	0.00062	0.00163	-0.00030	3.500	4.828	5.271	45.44	49.23	51.31	47.62	3.769	2.237	0.00043	4.33e-9	0.00021	6.59e-8	0.00026	1.10e-7	0.00017	1.27e-7	0.00062	3.80e-7	0.00030	4.93e-7	45.46	42.79	40.17	
3.600	0.000017	0.00043	-0.00032	-0.00020	-0.00042	-0.00026	-0.00073	0.00018	-0.00060	0.00061	0.00164	-0.00029	3.600	4.829	5.272	45.44	49.23	51.31	47.62	3.769	2.237	0.00043	7.43e-9	0.00020	6.43e-8	0.00026	1.09e-7	0.00018	1.32e-7	0.00061	3.66e-7	0.00029	4.77e-7	45.46	42.79	40.17	
3.700	0.000019	0.00044	-0.00031	-0.00020	-0.00042	-0.00027	-0.00071	0.00017	-0.00060	0.00059	0.00165	-0.00027	3.700	4.828	5.272	45.44	49.23	51.31	47.62	3.768	2.237	0.00044	8.21e-9	0.00020	6.13e-8	0.00027	1.11e-7	0.00017	1.20e-7	0.00059	3.52e-7	0.00027	4.48e-7	45.46	42.79	40.17	
3.800	0.000019	0.00042	-0.00031	-0.00020	-0.00041	-0.00027	-0.00070	0.00017	-0.00061	0.00060	0.00165	-0.00026	3.800	4.828	5.273	45.44	49.23	51.31	47.62	3.769	2.237	0.00042	7.78e-9	0.00020	6.25e-8	0.00027	1.09e-7	0.00017	1.17e-7	0.00060	3.60e-7	0.00026	4.28e-7	45.46	42.79	40.17	
3.900	0.000023	0.00040	-0.00032	-0.00016	-0.00041	-0.00027	-0.00072	0.00016	-0.00060	0.00059	0.00166	-0.00027	3.900	4.828	5.272	45.44	49.23	51.31	47.62	3.769	2.237	0.00040	9.27e-9	0.00016	5.14e-8	0.00027	1.09e-7	0.00016	1.16e-7	0.00059	3.56e-7	0.00027	4.43e-7	45.46	42.79	40.17	
4.000	0.000037	0.00040	-0.00031	-0.00016	-0.00041	-0.00027	-0.00071	0.00017	-0.00061	0.00059	0.00167	-0.00029	4.000	4.828	5.272	45.44	49.23	51.31	47.62	3.770	2.238	0.00040	1.49e-8	0.00016	5.03e-8	0.00027	1.11e-7	0.00017	1.21e-7	0.00059	3.58e-7	0.00029	4.81e-7	45.46	42.79	40.17	
4.100	0.000036	0.00040	-0.00031	-0.00017	-0.00041	-0.00025	-0.00072	0.00016	-0.00061	0.00059	0.00166	-0.00029	4.100	4.828	5.273	45.44	49.23	51.31	47.62	3.770	2.237	0.00040	1.45e-8	0.00017	5.18e-8	0.00025	1.03e-7	0.00016	1.16e-7	0.00059	3.62e-7	0.00029	4.77e-7	45.46	42.79	40.17	
4.200	0.000029	0.00040	-0.00031	-0.00017	-0.00040	-0.00027	-0.00072	0.00015	-0.00060	0.00058	0.00165	-0.00030	4.200	4.829	5.272	45.44	49.23	51.31	47.62	3.770	2.237	0.00040	1.16e-8	0.00017	5.24e-8	0.00027	1.09e-7	0.00015	1.08e-7	0.00058	3.47e-7	0.00030	4.92e-7	45.46	42.79	40.17	
4.300	0.000032	0.00040	-0.00032	-0.00017	-0.00040	-0.00027	-0.00072	0.00016	-0.00059	0.00059	0.00164	-0.00029	4.300	4.829	5.272	45.44	49.23	51.31	47.62	3.771	2.237	0.00040	1.26e-8	0.00017	5.25e-8	0.00027	1.08e-7	0.00016	1.13e-7	0.00059	3.47e-7	0.00029	4.77e-7	45.46	42.79	40.17	
4.400	0.000030	0.00040	-0.00033	-0.00018	-0.00040	-0.00027	-0.00071	0.00015	-0.00058	0.00058	0.00164	-0.00030	4.400	4.829	5.273	45.44	49.23	51.31	47.62	3.770	2.237	0.00040	1.22e-8	0.00018	5.80e-8	0.00027	1.10e-7	0.00015	1.09e-7	0.00058	3.38e-7	0.00030	4.86e-7	45.46	42.79	40.17	
