Time_1HZ,RPS_Cold,RPS_Hot
2023-11-07 12:58:42,5,8
2023-11-07 12:58:43,4,7
2023-11-07 12:58:44,5,7
2023-11-07 12:58:45,5,7
2023-11-07 12:58:46,5,8
2023-11-07 12:58:47,5,7
2023-11-07 12:58:48,4,7
2023-11-07 12:58:49,5,7
2023-11-07 12:58:50,5,8
2023-11-07 12:58:51,5,7
2023-11-07 12:58:52,5,7
2023-11-07 12:58:53,4,7
2023-11-07 12:58:54,5,8
2023-11-07 12:58:55,5,7
2023-11-07 12:58:56,5,7
2023-11-07 12:58:57,5,7
2023-11-07 12:58:58,4,8
2023-11-07 12:58:59,5,7
2023-11-07 12:59:00,5,7
2023-11-07 12:59:01,5,8
2023-11-07 12:59:02,5,7
2023-11-07 12:59:03,4,7
2023-11-07 12:59:04,5,7
2023-11-07 12:59:05,5,8
2023-11-07 12:59:06,5,7
2023-11-07 12:59:07,5,7
2023-11-07 12:59:08,4,8
2023-11-07 12:59:09,5,7
2023-11-07 12:59:10,5,7
2023-11-07 12:59:11,5,8
2023-11-07 12:59:12,3,7
2023-11-07 12:59:13,1,7
2023-11-07 12:59:14,0,8
2023-11-07 12:59:15,0,7
2023-11-07 12:59:16,0,7
2023-11-07 12:59:17,0,8
2023-11-07 12:59:18,0,7
2023-11-07 12:59:19,0,7
2023-11-07 12:59:20,0,8
2023-11-07 12:59:21,0,7
2023-11-07 12:59:22,0,7
2023-11-07 12:59:23,0,8
2023-11-07 12:59:24,0,7
2023-11-07 12:59:25,0,7
2023-11-07 12:59:26,0,8
2023-11-07 12:59:27,0,7
2023-11-07 12:59:28,0,7
2023-11-07 12:59:29,0,8
2023-11-07 12:59:30,0,7
2023-11-07 12:59:31,0,7
2023-11-07 12:59:32,0,8
2023-11-07 12:59:33,0,7
2023-11-07 12:59:34,0,7
2023-11-07 12:59:35,0,8
2023-11-07 12:59:36,0,6
2023-11-07 12:59:37,0,4
2023-11-07 12:59:38,0,0
2023-11-07 12:59:39,0,1
2023-11-07 12:59:40,0,0
2023-11-07 12:59:41,0,0
2023-11-07 12:59:42,0,0
2023-11-07 12:59:43,0,0
2023-11-07 12:59:44,0,0
2023-11-07 12:59:45,0,0
2023-11-07 12:59:46,0,0
2023-11-07 12:59:47,0,0
2023-11-07 12:59:48,0,0
2023-11-07 12:59:49,0,0
2023-11-07 12:59:50,0,0
2023-11-07 12:59:51,0,0
2023-11-07 12:59:52,0,0
2023-11-07 12:59:53,0,0
2023-11-07 12:59:54,0,0
2023-11-07 12:59:55,0,0
2023-11-07 12:59:56,0,0
2023-11-07 12:59:57,0,0
2023-11-07 12:59:58,0,0
2023-11-07 12:59:59,0,0
2023-11-07 13:00:00,0,0
2023-11-07 13:00:01,0,0
2023-11-07 13:00:02,0,0
2023-11-07 13:00:03,0,0
2023-11-07 13:00:04,0,0
2023-11-07 13:00:05,0,0
2023-11-07 13:00:06,0,0
2023-11-07 13:00:07,0,0
2023-11-07 13:00:08,0,0
2023-11-07 13:00:09,0,0
2023-11-07 13:00:10,0,0
2023-11-07 13:00:11,0,0
2023-11-07 13:00:12,0,0
2023-11-07 13:00:13,0,0
2023-11-07 13:00:14,0,0
2023-11-07 13:00:15,0,0
2023-11-07 13:00:16,0,0
2023-11-07 13:00:17,0,0
2023-11-07 13:00:18,0,0
2023-11-07 13:00:19,0,0
2023-11-07 13:00:20,0,0
2023-11-07 13:00:21,0,0
2023-11-07 13:00:22,0,0
2023-11-07 13:00:23,0,0
2023-11-07 13:00:24,0,0
2023-11-07 13:00:25,0,0
2023-11-07 13:00:26,0,0
2023-11-07 13:00:27,0,0
2023-11-07 13:00:28,0,0
2023-11-07 13:00:29,0,0
2023-11-07 13:00:30,0,0
2023-11-07 13:00:31,0,0
2023-11-07 13:00:32,0,0
2023-11-07 13:00:33,0,0
2023-11-07 13:00:34,0,0
2023-11-07 13:00:35,0,0
2023-11-07 13:00:36,0,0
2023-11-07 13:00:37,0,0
2023-11-07 13:00:38,0,0
2023-11-07 13:00:39,0,0
2023-11-07 13:00:40,0,0
2023-11-07 13:00:41,0,0
2023-11-07 13:00:42,0,0
2023-11-07 13:00:43,0,0
2023-11-07 13:00:44,0,0
2023-11-07 13:00:45,0,0
2023-11-07 13:00:46,0,0
2023-11-07 13:00:47,0,0
2023-11-07 13:00:48,0,0
2023-11-07 13:00:49,0,0
2023-11-07 13:00:50,0,0
2023-11-07 13:00:51,0,0
2023-11-07 13:00:52,0,0
