Time_1HZ, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
2023-11-07 12:53:19,1.0,42.126666666666665,-0.88,44.666666666666664
2023-11-07 12:53:20,1.0,42.19,-0.88,44.75
2023-11-07 12:53:21,1.0,42.285,-0.88,44.845
2023-11-07 12:53:22,1.0,42.38,-0.88,44.94
2023-11-07 12:53:23,1.0,42.47,-0.88,45.065
2023-11-07 12:53:24,1.0,42.56,-0.88,45.19
2023-11-07 12:53:25,1.0,42.655,-0.88,45.315
2023-11-07 12:53:26,1.0,42.75,-0.88,45.44
2023-11-07 12:53:27,1.0,42.845,-0.88,45.535
2023-11-07 12:53:28,1.0,42.94,-0.88,45.63
2023-11-07 12:53:29,1.0,43.035,-0.88,45.72
2023-11-07 12:53:30,1.0,43.13,-0.88,45.81
2023-11-07 12:53:31,1.0,43.22,-0.88,45.935
2023-11-07 12:53:32,1.0,43.31,-0.88,46.06
2023-11-07 12:53:33,1.0,43.435,-0.88,46.155
2023-11-07 12:53:34,1.0,43.56,-0.88,46.25
2023-11-07 12:53:35,1.0,43.655,-0.88,46.375
2023-11-07 12:53:36,1.0,43.75,-0.88,46.5
2023-11-07 12:53:37,1.0,43.845,-0.88,46.595
2023-11-07 12:53:38,1.0,43.94,-0.88,46.69
2023-11-07 12:53:39,1.0,44.035,-0.845,46.785
2023-11-07 12:53:40,1.0,44.13,-0.81,46.88
2023-11-07 12:53:41,1.25,44.22,-0.81,46.97
2023-11-07 12:53:42,1.5,44.31,-0.81,47.06
2023-11-07 12:53:43,1.5,44.373333333333335,-0.81,47.123333333333335
2023-11-07 12:53:44,1.5,44.43666666666667,-0.81,47.18666666666667
2023-11-07 12:53:45,1.5,44.5,-0.81,47.25
2023-11-07 12:53:46,1.5,44.625,-0.81,47.375
2023-11-07 12:53:47,1.5,44.75,-0.81,47.5
2023-11-07 12:53:48,1.5,44.845,-0.81,47.595
2023-11-07 12:53:49,1.5,44.94,-0.81,47.69
2023-11-07 12:53:50,1.5,45.0,-0.81,47.815
2023-11-07 12:53:51,1.5,45.06,-0.81,47.94
2023-11-07 12:53:52,1.5,45.155,-0.81,48.035
2023-11-07 12:53:53,1.5,45.25,-0.81,48.13
2023-11-07 12:53:54,1.5,45.345,-0.81,48.22
2023-11-07 12:53:55,1.5,45.44,-0.81,48.31
2023-11-07 12:53:56,1.5,45.535,-0.81,48.405
2023-11-07 12:53:57,1.5,45.63,-0.81,48.5
2023-11-07 12:53:58,1.5,45.72,-0.81,48.595
2023-11-07 12:53:59,1.5,45.81,-0.81,48.69
2023-11-07 12:54:00,1.5,45.905,-0.81,48.785
2023-11-07 12:54:01,1.5,46.0,-0.81,48.88
2023-11-07 12:54:02,1.5,46.095,-0.81,48.97
2023-11-07 12:54:03,1.5,46.19,-0.81,49.06
2023-11-07 12:54:04,1.5,46.285,-0.81,49.155
2023-11-07 12:54:05,1.5,46.38,-0.81,49.25
2023-11-07 12:54:06,1.5,46.47,-0.81,49.345
2023-11-07 12:54:07,1.5,46.56,-0.81,49.44
2023-11-07 12:54:08,1.5,46.60333333333333,-0.81,49.50333333333333
2023-11-07 12:54:09,1.5,46.64666666666667,-0.81,49.56666666666667
2023-11-07 12:54:10,1.5,46.69,-0.81,49.63
2023-11-07 12:54:11,1.5,46.785,-0.81,49.755
2023-11-07 12:54:12,1.5,46.88,-0.81,49.88
2023-11-07 12:54:13,1.5,46.97,-0.81,49.97
2023-11-07 12:54:14,1.5,47.06,-0.81,50.06
2023-11-07 12:54:15,1.5,47.155,-0.81,50.155
2023-11-07 12:54:16,1.5,47.25,-0.81,50.25
2023-11-07 12:54:17,1.5,47.315,-0.81,50.375
2023-11-07 12:54:18,1.5,47.38,-0.81,50.5
2023-11-07 12:54:19,1.5,47.47,-0.81,50.595
2023-11-07 12:54:20,1.5,47.56,-0.81,50.69
2023-11-07 12:54:21,1.5,47.655,-0.81,50.785
2023-11-07 12:54:22,1.5,47.75,-0.81,50.88
2023-11-07 12:54:23,1.5,47.845,-0.81,50.97
2023-11-07 12:54:24,1.5,47.94,-0.81,51.06
2023-11-07 12:54:25,1.5,48.035,-0.81,51.185
2023-11-07 12:54:26,1.5,48.13,-0.81,51.31
2023-11-07 12:54:27,1.5,48.19,-0.81,51.405
2023-11-07 12:54:28,1.5,48.25,-0.81,51.5
2023-11-07 12:54:29,1.5,48.375,-0.81,51.595
2023-11-07 12:54:30,1.5,48.5,-0.81,51.69
2023-11-07 12:54:31,1.5,48.565,-0.845,51.785
2023-11-07 12:54:32,1.5,48.63,-0.88,51.88
2023-11-07 12:54:33,1.6666666666666667,48.71333333333334,-0.88,51.940000000000005
2023-11-07 12:54:34,1.8333333333333333,48.79666666666667,-0.88,52.0
2023-11-07 12:54:35,2.0,48.88,-0.88,52.06
2023-11-07 12:54:36,2.0,48.97,-0.88,52.185
2023-11-07 12:54:37,2.0,49.06,-0.88,52.31
2023-11-07 12:54:38,2.0,49.125,-0.88,52.405
2023-11-07 12:54:39,2.0,49.19,-0.88,52.5
2023-11-07 12:54:40,2.0,49.285,-0.88,52.595
2023-11-07 12:54:41,2.0,49.38,-0.88,52.69
2023-11-07 12:54:42,2.0,49.47,-0.88,52.75
2023-11-07 12:54:43,2.0,49.56,-0.88,52.81
2023-11-07 12:54:44,2.0,49.655,-0.845,52.935
2023-11-07 12:54:45,2.0,49.75,-0.81,53.06
2023-11-07 12:54:46,2.0,49.845,-0.81,53.155
2023-11-07 12:54:47,2.0,49.94,-0.81,53.25
2023-11-07 12:54:48,2.0,50.0,-0.81,53.345
2023-11-07 12:54:49,2.0,50.06,-0.81,53.44
2023-11-07 12:54:50,2.0,50.155,-0.81,53.565
2023-11-07 12:54:51,2.0,50.25,-0.81,53.69
2023-11-07 12:54:52,2.0,50.315,-0.78,53.815
2023-11-07 12:54:53,2.0,50.38,-0.75,53.94
2023-11-07 12:54:54,2.0,50.47,-0.78,54.0
2023-11-07 12:54:55,2.0,50.56,-0.81,54.06
2023-11-07 12:54:56,2.0,50.655,-0.78,54.185
2023-11-07 12:54:57,2.0,50.75,-0.75,54.31
2023-11-07 12:54:58,2.0,50.81333333333333,-0.77,54.35333333333333
2023-11-07 12:54:59,2.0,50.876666666666665,-0.79,54.39666666666667
2023-11-07 12:55:00,2.0,50.94,-0.81,54.44
2023-11-07 12:55:01,2.0,51.035,-0.81,54.565
2023-11-07 12:55:02,2.0,51.13,-0.81,54.69
2023-11-07 12:55:03,2.0,51.22,-0.78,54.785
2023-11-07 12:55:04,2.0,51.31,-0.75,54.88
2023-11-07 12:55:05,2.0,51.375,-0.75,54.97
2023-11-07 12:55:06,2.0,51.44,-0.75,55.06
2023-11-07 12:55:07,2.0,51.565,-0.75,55.155
2023-11-07 12:55:08,2.0,51.69,-0.75,55.25
2023-11-07 12:55:09,2.0,51.785,-0.75,55.345
2023-11-07 12:55:10,2.0,51.88,-0.75,55.44
2023-11-07 12:55:11,2.0,51.94,-0.72,55.5
2023-11-07 12:55:12,2.0,52.0,-0.69,55.56
2023-11-07 12:55:13,2.0,52.095,-0.69,55.655
2023-11-07 12:55:14,2.0,52.19,-0.69,55.75
2023-11-07 12:55:15,2.0,52.285,-0.69,55.845
2023-11-07 12:55:16,2.0,52.38,-0.69,55.94
2023-11-07 12:55:17,2.0,52.47,-0.6599999999999999,56.035
2023-11-07 12:55:18,2.0,52.56,-0.63,56.13
2023-11-07 12:55:19,2.0,52.655,-0.63,56.22
2023-11-07 12:55:20,2.0,52.75,-0.63,56.31
2023-11-07 12:55:21,2.0,52.845,-0.63,56.405
2023-11-07 12:55:22,2.0,52.94,-0.63,56.5
2023-11-07 12:55:23,2.0,52.98,-0.63,56.56333333333333
2023-11-07 12:55:24,2.0,53.02,-0.63,56.626666666666665
2023-11-07 12:55:25,2.0,53.06,-0.63,56.69
2023-11-07 12:55:26,2.0,53.155,-0.63,56.75
2023-11-07 12:55:27,2.0,53.25,-0.63,56.81
2023-11-07 12:55:28,2.0,53.345,-0.595,56.905
2023-11-07 12:55:29,2.0,53.44,-0.56,57.0
2023-11-07 12:55:30,2.0,53.535,-0.56,57.095
2023-11-07 12:55:31,2.0,53.63,-0.56,57.19
