Time,Voltage_8.2_B_[V],Shunt_8.2_B_[V],Voltage_9.09_C_[V],Shunt_9.09_C_[V],Voltage_4.1_D_[V],Shunt_4.1_D_[V],Voltage_4.1_E_[V],Shunt_4.1_E[V],Voltage_VarR[V],Shunt_VarR[V],Current_B[A],Power_B[W],Current_C[],Power_C[],Current_D[],Power_D_[],Current_E[],Power_E[],Current_VarR[],Power_VarR[],Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_9,Sensor_10
33.0,0.001547,-0.0005052,-0.0022237,-8.561e-05,-0.014584,-0.002589,0.0066055,0.0019143,0.0057401,-0.0013794999999999,0.0005052,7.8294e-07,8.561e-05,1.8996e-07,0.002589,3.8e-05,0.0019143,1.3e-05,0.0013794999999999,7.916500000000001e-06,27.8696320535,27.903790093,25.6492032995,26.0112055785,26.51332302,26.3519062055
34.0,0.0015455999999999,-0.0005105,-0.0022239,-8.778e-05,-0.0145707,-0.0025864,0.006614,0.0019019999999999,0.0057383999999999,-0.0013728,0.0005105,7.905300000000001e-07,8.778e-05,1.9545000000000002e-07,0.0025864,3.783e-05,0.0019019999999999,1.27e-05,0.0013728,7.880100000000001e-06,27.869088364,27.901243592,25.646430968,26.007117844,26.50812416,26.350207902
35.0,0.0015496,-0.000511,-0.0022265,-9.134e-05,-0.0145787,-0.0025784,0.0065974,0.0018897,0.0057314,-0.0013689,0.000511,7.922699999999999e-07,9.134e-05,2.0366e-07,0.0025784,3.787e-05,0.0018897,1.205e-05,0.0013689,7.8457e-06,27.8685446745,27.898697091,25.6436586365,26.0030301095,26.5029253,26.3485095985
36.0,0.0015502,-0.0005164999999999,-0.0022276,-9.36e-05,-0.0145827,-0.0025734,0.0066028,0.0018911,0.0057168,-0.0013678,0.0005164999999999,8.028200000000001e-07,9.36e-05,2.0810000000000002e-07,0.0025734,3.745e-05,0.0018911,1.233e-05,0.0013678,7.819499999999999e-06,27.868000985,27.89615059,25.640886305,25.998942375,26.49772644,26.346811295
37.0,0.0015572,-0.0005191999999999,-0.0022478999999999,-9.425e-05,-0.0145855999999999,-0.0025705,0.0066141,0.0018981999999999,0.0056997,-0.0013639,0.0005191999999999,8.097900000000001e-07,9.425e-05,2.103e-07,0.0025705,3.742e-05,0.0018981999999999,1.282e-05,0.0013639,7.7771e-06,27.8674572955,27.893604089,25.6381139735,25.9948546405,26.49252758,26.3451129915
38.0,0.0015658999999999,-0.0005185999999999,-0.0022634,-8.767e-05,-0.0145922,-0.0025773,0.0066227,0.0019034,0.0056928,-0.0013704,0.0005185999999999,8.1123e-07,8.767e-05,1.9685e-07,0.0025773,3.773e-05,0.0019034,1.299e-05,0.0013704,7.8026e-06,27.866913606,27.891057588,25.635341642,25.990766906,26.48732872,26.343414688
39.0,0.001581,-0.0005143,-0.0022814,-9.39e-05,-0.014593,-0.0025854,0.0066164,0.0018973,0.0056972,-0.0013720999999999,0.0005143,8.1176e-07,9.39e-05,2.1408e-07,0.0025854,3.779e-05,0.0018973,1.286e-05,0.0013720999999999,7.8209e-06,27.8663699165,27.888511087,25.6325693105,25.9866791715,26.48212986,26.3417163845
40.0,0.001602,-0.000513,-0.0022967,-0.0001001299999999,-0.0146086999999999,-0.0025824999999999,0.0066058,0.0018908999999999,0.0056696,-0.0013635,0.000513,8.2026e-07,0.0001001299999999,2.3039000000000001e-07,0.0025824999999999,3.791000000000001e-05,0.0018908999999999,1.23e-05,0.0013635,7.7349e-06,27.865826227,27.885964586,25.629796979,25.982591437,26.476931,26.340018081
41.0,0.0016026999999999,-0.0005153,-0.0023127,-9.853e-05,-0.0146075,-0.0025814,0.0066096,0.0018717999999999,0.0056660999999999,-0.0013599,0.0005153,8.2479e-07,9.853e-05,2.2624000000000002e-07,0.0025814,3.7810000000000006e-05,0.0018717999999999,1.2e-05,0.0013599,7.7021e-06,27.8652825375,27.883418085,25.6270246475,25.9785037025,26.47173214,26.3383197775
42.0,0.0015951,-0.0005158,-0.0023252999999999,-9.065e-05,-0.0146110999999999,-0.0025895,0.0066206,0.001882,0.0056573,-0.0013607,0.0005158,8.2372e-07,9.065e-05,2.1132e-07,0.0025895,3.799e-05,0.001882,1.231e-05,0.0013607,7.6989e-06,27.864738848,27.880871584,25.624252316,25.974415968,26.46653328,26.336621474
